Temperature,Humidity,Smoke_ADC,CO_ADC,Flame,LDR_ADC,LDR_Flicker,Motion,Label
24.25,60.31,33.0,211.0,0,2465.0,75.3,0,0
25.62,52.98,123.0,237.0,0,910.0,51.2,0,0
67.1,28.88,2177.0,931.0,0,1796.0,16.6,0,1
29.74,38.82,76.0,136.0,0,1514.0,33.3,1,0
30.92,77.25,2113.0,411.0,0,1431.0,31.4,1,0
87.11,24.35,3283.0,1918.0,1,215.0,506.3,1,1
41.75,60.46,1245.0,89.0,0,2683.0,63.5,1,0
57.99,76.08,1525.0,323.0,0,3053.0,55.7,1,0
78.53,29.83,2177.0,1669.0,1,344.0,427.8,0,1
43.11,77.33,1045.0,58.0,0,2906.0,15.7,1,0
41.02,75.17,1414.0,436.0,0,2063.0,72.1,1,0
106.29,20.8,2817.0,3741.0,1,257.0,750.0,0,2
173.87,8.02,2972.0,3120.0,1,95.0,323.3,0,2
72.32,36.14,1410.0,1099.0,0,2673.0,73.1,1,1
43.64,29.33,1750.0,946.0,0,3076.0,64.7,1,1
156.8,6.52,3663.0,3449.0,1,326.0,874.5,1,2
93.44,34.48,2899.0,1942.0,1,80.0,647.1,0,1
43.53,50.94,878.0,1560.0,0,1684.0,5.9,1,1
191.8,23.73,4055.0,3916.0,1,298.0,813.8,0,2
60.64,41.49,1607.0,1622.0,0,3711.0,13.0,1,1
125.55,6.76,3596.0,2766.0,1,391.0,557.8,1,2
20.86,44.4,238.0,98.0,0,1938.0,41.4,1,0
62.27,85.63,1726.0,380.0,0,3171.0,76.9,1,0
61.97,23.98,1306.0,1552.0,0,2260.0,38.6,0,1
74.56,32.11,1009.0,1265.0,0,2188.0,75.2,1,1
46.65,70.09,1594.0,157.0,0,3394.0,21.8,1,0
143.68,9.41,3144.0,2798.0,1,87.0,719.9,0,2
63.13,71.75,1323.0,231.0,0,2874.0,32.5,1,0
36.58,72.03,1566.0,62.0,0,2152.0,2.3,1,0
84.9,29.72,1561.0,2606.0,0,3124.0,35.2,1,1
172.64,14.55,3709.0,3840.0,1,92.0,261.8,1,2
19.49,35.79,136.0,273.0,0,2335.0,8.6,0,0
58.0,35.25,2365.0,2466.0,0,2871.0,12.6,1,1
25.09,38.27,30.0,231.0,0,1593.0,63.1,1,0
23.79,50.36,89.0,21.0,0,2483.0,73.3,1,0
75.16,36.13,2846.0,2993.0,1,101.0,410.3,1,1
80.4,40.25,2236.0,2903.0,0,810.0,70.1,0,1
36.33,78.58,1032.0,415.0,0,2458.0,10.2,1,0
39.93,87.53,1149.0,287.0,0,2818.0,0.6,1,0
