Temperature,Humidity,Smoke,CO,Flame,Pressure,Motion,Label
77.35,23.12,102.94,8.63,0.0,1009.32,1,1
25.28,31.93,6.6,2.71,0.0,1008.08,0,0
83.88,48.46,49.39,6.62,0.0,1011.33,1,1
185.49,6.23,652.65,56.92,1.0,1001.48,0,2
63.43,27.52,266.58,5.22,0.0,1008.41,1,1
147.75,26.89,1226.26,23.08,1.0,992.4,1,2
56.2,71.59,691.41,0.2,0.0,1009.45,1,0
20.35,39.83,1.86,2.59,0.0,1012.69,0,0
121.84,28.78,1012.4,32.48,1.0,1001.41,0,2
87.64,26.73,163.94,5.72,0.0,1008.1,0,1
72.44,47.63,845.18,23.95,0.0,1001.06,0,1
46.96,48.56,119.77,4.68,0.0,1006.45,1,1
30.22,57.45,609.32,1.31,0.0,1014.27,1,0
59.32,62.65,572.72,1.84,0.0,1009.88,1,0
115.57,22.87,1291.76,19.85,1.0,997.37,0,2
81.0,25.51,655.51,16.52,0.3,1000.95,0,1
56.34,79.89,320.8,3.87,0.0,1008.98,1,0
28.08,48.89,76.8,0.02,0.0,1008.63,0,0
87.8,20.93,330.03,10.31,0.0,1002.16,1,1
51.65,59.04,190.84,3.87,0.1,1012.64,1,0
89.81,39.29,512.28,6.03,0.3,1002.83,1,1
113.23,17.64,1488.73,50.59,1.0,991.62,1,2
21.31,49.5,68.61,1.11,0.0,1009.98,1,0
73.91,17.51,543.92,7.33,0.0,1005.95,0,1
21.68,31.48,76.88,0.32,0.0,1009.62,1,0
56.24,76.63,420.4,4.55,0.1,1010.21,1,0
34.66,52.36,258.75,0.29,0.1,1014.21,1,0
83.19,22.39,28.88,9.29,0.0,1008.04,0,1
68.02,57.99,547.25,0.79,0.0,1009.78,1,0
18.2,59.3,47.76,2.07,0.0,1009.05,1,0
90.53,16.17,816.35,14.2,0.3,1009.87,1,1
197.08,13.71,1132.52,31.83,1.0,999.33,0,2
78.31,19.95,538.73,15.53,0.3,1004.24,0,1
50.85,47.02,361.14,23.88,0.0,1009.47,1,1
51.21,42.54,571.81,20.37,0.0,1009.36,0,1
196.16,9.42,1449.92,45.69,1.0,1004.21,0,2
98.65,10.83,971.37,29.8,1.0,1000.95,1,2
172.12,26.0,1325.7,44.74,1.0,990.03,0,2
104.27,9.22,935.86,37.52,1.0,1003.13,0,2
62.7,59.36,694.41,1.0,0.0,1015.87,1,0
68.27,37.19,813.6,21.76,0.3,1001.1,1,1
68.17,82.2,670.07,0.5,0.0,1011.02,1,0
45.71,52.08,239.28,5.02,0.0,1007.48,1,1
20.88,53.03,0.11,2.8,0.0,1009.34,0,0
26.03,43.02,18.77,0.6,0.0,1012.04,1,0
22.63,57.93,70.83,1.02,0.0,1010.22,1,0
51.15,33.27,870.26,5.71,0.0,1003.77,0,1
99.59,28.01,759.32,21.28,0.3,1006.13,1,1
67.87,57.53,257.79,4.34,0.1,1014.12,1,0
60.08,68.63,159.57,1.57,0.0,1009.27,1,0
29.29,33.37,75.84,1.55,0.0,1014.42,0,0
90.04,44.86,195.44,2.69,0.2,1006.29,0,1
56.06,50.46,195.84,1.0,0.1,1014.64,1,0
111.83,38.44,705.27,44.01,1.0,1002.37,1,2
90.92,55.59,250.58,4.77,0.0,1009.08,1,1
111.89,29.05,728.41,41.54,1.0,995.6,1,2
69.59,48.09,400.91,9.33,0.0,1010.51,1,1
29.15,46.75,53.52,1.11,0.0,1013.22,1,0
27.81,52.23,65.66,0.67,0.0,1011.72,1,0
47.46,61.62,772.34,3.56,0.1,1013.75,1,0
19.44,35.49,45.48,2.32,0.0,1012.13,0,0
42.58,23.56,736.88,8.12,0.3,1005.46,1,1
19.89,38.35,34.71,1.04,0.0,1010.99,0,0
149.72,36.52,1784.1,46.61,1.0,1002.97,1,2
25.49,30.51,37.15,0.51,0.0,1008.89,0,0
126.95,15.31,1345.05,29.16,1.0,994.36,0,2
24.05,55.6,61.01,2.22,0.0,1013.11,1,0
64.51,75.94,516.97,1.54,0.0,1015.86,1,0
61.0,10.38,497.76,10.52,0.0,1008.65,1,1
22.21,43.41,11.82,2.11,0.0,1013.11,0,0
29.26,37.83,9.86,1.31,0.0,1013.2,1,0
75.51,41.2,425.99,2.11,0.2,1010.75,1,1
92.55,12.7,429.94,13.82,0.0,1000.57,1,1
29.43,57.55,47.51,1.36,0.0,1008.56,1,0
59.19,13.75,785.71,9.71,0.3,1006.27,0,1
130.4,27.76,1672.12,13.45,1.0,990.15,1,2
46.73,86.46,247.65,4.21,0.0,1009.23,1,0
62.82,88.1,654.82,2.14,0.1,1014.17,1,0
46.86,64.6,369.7,1.53,0.0,1009.91,1,0
43.37,40.12,129.71,1.9,0.2,1011.98,0,1
62.51,88.53,706.08,3.88,0.0,1009.4,1,0
89.43,20.14,585.34,20.46,0.0,1003.26,0,1
130.56,29.83,1913.64,37.57,1.0,996.37,1,2
58.02,86.35,708.79,1.74,0.0,1011.88,1,0
61.59,48.7,725.35,4.77,0.0,1012.84,1,0
130.75,8.43,967.99,57.79,1.0,1004.86,0,2
83.49,9.21,1311.6,20.53,1.0,994.31,1,2
41.87,31.92,383.06,5.07,0.0,1006.27,1,1
151.02,34.97,1410.21,40.96,1.0,1007.2,1,2
72.83,34.15,455.01,11.93,0.0,1004.35,0,1
47.16,42.19,869.58,18.08,0.3,1001.85,0,1
23.38,35.99,37.69,1.68,0.0,1013.42,1,0
132.24,12.37,1628.95,16.35,1.0,995.43,1,2
55.54,65.94,414.76,2.42,0.1,1013.51,1,0
72.11,28.56,757.72,11.26,0.0,1002.85,0,1
95.16,48.39,701.92,6.97,0.0,1003.17,1,1
19.82,54.21,15.37,1.9,0.0,1013.28,1,0
28.47,47.1,28.33,2.17,0.0,1013.53,0,0
73.4,16.6,306.51,10.63,0.3,1004.48,0,1
148.02,10.88,674.85,26.45,1.0,990.31,1,2
41.77,68.99,783.73,1.48,0.0,1008.06,1,0
101.78,19.69,1114.26,32.78,1.0,1003.87,1,2
37.43,88.38,347.28,4.55,0.1,1012.31,1,0
152.1,15.39,1640.38,28.73,1.0,998.06,1,2
122.64,20.45,1037.5,45.74,1.0,1007.38,0,2
97.0,30.81,339.16,11.75,0.0,1003.46,0,1
153.29,7.87,822.5,43.74,1.0,1004.91,0,2
43.07,10.0,896.61,23.64,0.3,1006.39,1,1
40.48,41.99,443.73,24.92,0.0,1009.04,1,1
118.35,27.87,1648.57,50.07,1.0,1004.3,1,2
85.24,41.83,176.96,3.77,0.2,1006.23,1,1
120.18,29.37,948.95,36.72,1.0,994.48,0,2
56.02,53.13,159.75,1.76,0.2,1010.26,1,1
90.13,39.99,1762.89,51.92,1.0,991.39,1,2
18.26,34.96,74.8,1.8,0.0,1009.77,0,0
56.15,50.27,186.43,3.15,0.1,1008.63,1,0
198.15,37.55,1456.05,48.9,1.0,997.1,1,2
94.52,29.16,1707.75,32.13,1.0,1003.5,0,2
47.33,51.47,454.55,4.35,0.1,1011.83,1,0
49.63,87.12,151.5,4.44,0.0,1014.52,1,0
98.08,19.22,797.39,15.84,1.0,991.65,1,2
80.34,27.64,603.08,17.35,0.0,1003.12,1,1
122.55,20.01,678.09,22.8,1.0,997.53,0,2
86.68,22.86,168.79,5.08,0.0,1006.58,1,1
84.26,36.22,618.27,23.71,0.3,1008.1,0,1
21.43,38.7,51.42,1.45,0.0,1010.92,1,0
144.71,18.97,1693.15,51.85,1.0,998.99,1,2
38.27,44.66,69.23,9.4,0.0,1009.96,1,1
21.88,57.8,4.53,0.27,0.0,1011.59,1,0
19.38,31.2,4.28,2.04,0.0,1012.74,0,0
64.44,49.99,155.07,5.27,0.2,1008.56,1,1
92.76,11.58,783.11,24.65,0.3,1004.17,0,1
26.23,54.1,57.58,1.83,0.0,1012.09,1,0
19.56,38.32,10.47,0.29,0.0,1011.35,0,0
53.28,82.54,344.79,0.81,0.1,1014.07,1,0
105.12,33.55,1065.81,59.24,1.0,1000.83,0,2
75.01,58.54,312.4,5.73,0.2,1006.23,1,1
61.06,59.62,565.49,2.76,0.0,1010.11,1,0
28.01,46.5,58.31,2.9,0.0,1008.99,1,0
169.32,19.99,1455.27,17.35,1.0,990.77,1,2
18.53,49.35,46.32,1.42,0.0,1009.72,0,0
94.75,17.67,466.98,11.8,0.3,1006.44,1,1
166.19,38.6,754.79,12.89,1.0,1007.34,1,2
42.02,27.79,440.36,1.46,0.0,1005.77,1,1
22.82,30.46,66.5,0.02,0.0,1011.7,1,0
99.9,24.6,836.23,5.54,0.3,1000.72,0,1
69.53,38.12,569.42,16.12,0.3,1009.13,1,1
67.09,31.8,202.74,1.14,0.2,1009.23,0,1
19.32,33.96,38.71,2.64,0.0,1014.4,1,0
62.35,51.21,385.83,7.69,0.0,1006.73,1,1
64.93,48.26,364.5,2.19,0.0,1007.22,0,1
43.87,51.85,382.65,1.38,0.2,1006.46,0,1
58.74,80.26,544.2,3.46,0.1,1008.28,1,0
18.34,32.16,18.91,1.31,0.0,1010.8,1,0
91.21,26.22,325.05,12.87,0.3,1009.17,1,1
185.95,23.39,1775.09,39.0,1.0,997.19,1,2
58.01,36.73,847.65,12.83,0.0,1005.43,0,1
42.2,81.36,636.6,3.48,0.1,1011.92,1,0
60.47,28.89,737.71,10.58,0.0,1006.43,0,1
63.32,18.55,842.91,17.84,0.0,1004.3,0,1
93.29,30.81,1978.25,37.08,1.0,1007.54,0,2
42.03,28.79,187.33,6.4,0.2,1009.29,0,1
154.86,17.22,1545.22,38.61,1.0,991.15,1,2
76.34,50.35,259.2,7.93,0.2,1010.31,0,1
59.02,35.89,331.02,7.65,0.2,1011.84,0,1
50.04,23.51,334.51,9.08,0.3,1006.48,1,1
59.04,69.24,763.73,2.96,0.1,1015.68,1,0
58.02,24.11,208.02,9.45,0.0,1010.02,0,1
69.18,77.59,571.25,4.85,0.0,1015.02,1,0
152.74,38.26,1083.21,37.39,1.0,997.55,1,2
194.04,22.85,1899.74,28.61,1.0,993.93,0,2
185.71,28.94,1397.18,24.16,1.0,994.59,1,2
52.31,46.44,352.09,22.1,0.0,1006.36,0,1
35.97,57.49,505.93,4.78,0.1,1014.16,1,0
46.57,18.74,811.7,20.17,0.0,1004.46,0,1
50.47,47.53,338.72,7.75,0.0,1007.64,0,1
87.69,20.6,400.81,4.19,0.2,1005.25,0,1
68.96,15.27,482.19,13.9,0.0,1005.49,1,1
42.25,29.26,312.09,5.55,0.0,1000.38,1,1
59.93,56.9,580.81,4.9,0.0,1015.89,1,0
93.2,41.05,783.93,10.15,0.3,1004.53,0,1
52.04,73.76,565.46,3.89,0.1,1012.92,1,0
50.48,20.41,405.9,20.2,0.0,1003.42,0,1
196.17,27.73,1911.51,38.42,1.0,994.88,1,2
80.87,20.79,182.34,8.54,0.2,1008.93,0,1
58.37,85.34,196.43,2.35,0.1,1011.64,1,0
63.43,59.27,305.18,3.64,0.0,1012.8,1,0
73.57,41.39,241.41,8.79,0.2,1007.36,0,1
